Input Query,Input Expected Name,Actual Product Name,Input Expected SKU,Actual SKU,Input Expected Position,Actual Position,Position Match,First Page Count,First Page Coverage %,NDCG Score,NDCG@5,NDCG@10,NDCG@20
"4 jaw chuck","STM 4445805 | 8"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4445810 | 10"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034565","50034566","3","2","Mismatch","","","","","",""
"4 jaw chuck","STM 4445810 | 10"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4450130 | 10"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034566","50034570","4","3","Mismatch","","","","","",""
"4 jaw chuck","STM 4450130 | 10"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4450135 | 12"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034570","50034571","5","4","Mismatch","","","","","",""
"4 jaw chuck","STM 4450135 | 12"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4450140 | 12"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034571","50034572","6","5","Mismatch","","","","","",""
"4 jaw chuck","STM 4450140 | 12"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4450150 | 16"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034572","50034573","7","6","Mismatch","","","","","",""
"4 jaw chuck","STM 4450150 | 16"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4450165 | 20"" Size 4 Jaw Cast Iron Manual Lathe Chuck","50034573","55071627","8","7","Mismatch","","","","","",""
"4 jaw chuck","STM 4450165 | 20"" Size 4 Jaw Cast Iron Manual Lathe Chuck","STM 4445803 | 5"" Size 4 Jaw Cast Iron Manual Lathe Chuck","55071627","50034563","9","8","Mismatch","","","","","",""
"4 jaw chuck","","STM 4440505 | 4"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034539","10","","","","","","","",""
"4 jaw chuck","","All Industrial 47750 | Self-Centering Lathe Chuck Plain Back 2"" 4-Jaw 1/2""-20 Hardened","","50000125","11","","","","","","","",""
"4 jaw chuck","","All Industrial 47752 | Self-Centering Lathe Chuck Plain Back 2"" 4-Jaw M14-1 Hardened","","50000126","12","","","","","","","",""
"4 jaw chuck","","All Industrial 47754 | Self-Centering Lathe Chuck Plain Back 2-1/2"" 4-Jaw M12-1 Hardened","","50000127","13","","","","","","","",""
"4 jaw chuck","","All Industrial 47780 | Independent Lathe Chuck Plain Back 2"" 4-Jaw M14-1 Hardened","","50000131","14","","","","","","","",""
"4 jaw chuck","","All Industrial 47760 | Self-Centering Lathe Chuck Plain Back 4"" 3-Jaw Hardened","","50000128","15","","","","","","","",""
"4 jaw chuck","","All Industrial 47704 | Self-Centering Lathe Chuck Plain Back 2"" 3-Jaw 3/4""-16 Hardened","","50000123","16","","","","","","","",""
"4 jaw chuck","","Royal Products 73130 | Albrecht 4 MT Shank Type x 1/32"" - 1/2"" Capacity Classic-Plus Keyless Drill Chuck with Integral Shank and Diamond-Coated Jaw","","55048402","17","","","","","","","",""
"4 jaw chuck","","STM 4440504 | 3"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034538","18","","","","","","","",""
"4 jaw chuck","","STM 4440510 | 5"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034540","19","","","","","","","",""
"4 jaw chuck","","STM 4440515 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034541","20","","","","","","","",""
"4 jaw chuck","","STM 4440520 | 8"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034542","21","","","","","","","",""
"4 jaw chuck","","STM 4440525 | 10"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034543","22","","","","","","","",""
"4 jaw chuck","","STM 4440530 | 12"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034544","23","","","","","","","",""
"4 jaw chuck","","STM 4440710 | 6"" Size 3 Jaw Cast Iron Manual Lathe Chuck","","50034545","24","","","","","","","",""
